Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Female,France,2020,23957.0,23920.0,23519.0,23589.0,23401.0,22747.0,23899.2,384.8,1.96,337.3,23561.9,24236.5,57.8,337.3,0.2,1.4,23899.2 (±337.3),57.8 (±337.3),0.2% (±1.4%),2256289,2.6,14.9,2.6(±14.9)
Female,France,2020,23957.0,23920.0,23519.0,23589.0,23401.0,22747.0,23899.2,384.8,1.96,337.3,23561.9,24236.5,57.8,337.3,0.2,1.4,23899.2 (±337.3),57.8 (±337.3),0.2% (±1.4%),2246788,2.6,15.0,2.6(±15.0)
Female,France,2020,23957.0,23920.0,23519.0,23589.0,23401.0,22747.0,23899.2,384.8,1.96,337.3,23561.9,24236.5,57.8,337.3,0.2,1.4,23899.2 (±337.3),57.8 (±337.3),0.2% (±1.4%),2148515,2.7,15.7,2.7(±15.7)
Female,Greece,2020,4036.0,3627.0,3794.0,3797.0,3726.0,3679.0,3795.0000000000014,65.8,1.96,57.7,3737.3000000000015,3852.700000000001,241.0,57.7,6.4,1.6,3795.0 (±57.7),241.0 (±57.7),6.4% (±1.6%),402081,59.9,14.4,59.9(±14.4)
Female,Greece,2020,4036.0,3627.0,3794.0,3797.0,3726.0,3679.0,3795.0000000000014,65.8,1.96,57.7,3737.3000000000015,3852.700000000001,241.0,57.7,6.4,1.6,3795.0 (±57.7),241.0 (±57.7),6.4% (±1.6%),408394,59.0,14.1,59.0(±14.1)
Female,Greece,2020,4036.0,3627.0,3794.0,3797.0,3726.0,3679.0,3795.0000000000014,65.8,1.96,57.7,3737.3000000000015,3852.700000000001,241.0,57.7,6.4,1.6,3795.0 (±57.7),241.0 (±57.7),6.4% (±1.6%),413336,58.3,14.0,58.3(±14.0)
Female,Greece,2020,4036.0,3627.0,3794.0,3797.0,3726.0,3679.0,3795.0000000000014,65.8,1.96,57.7,3737.3000000000015,3852.700000000001,241.0,57.7,6.4,1.6,3795.0 (±57.7),241.0 (±57.7),6.4% (±1.6%),379760,63.5,15.2,63.5(±15.2)
Female,Greece,2020,4036.0,3627.0,3794.0,3797.0,3726.0,3679.0,3795.0000000000014,65.8,1.96,57.7,3737.3000000000015,3852.700000000001,241.0,57.7,6.4,1.6,3795.0 (±57.7),241.0 (±57.7),6.4% (±1.6%),362278,66.5,16.0,66.5(±16.0)
Female,Hungary,2020,7253.0,8123.0,7413.0,7240.0,7212.0,6650.0,7486.000000000001,473.3,1.96,414.9,7071.100000000001,7900.900000000001,-233.0,414.9,-3.1,5.1,7486.0 (±414.9),-233.0 (±414.9),-3.1% (±5.1%),412894,-56.4,100.5,-56.4(±100.5)
Female,Hungary,2020,7253.0,8123.0,7413.0,7240.0,7212.0,6650.0,7486.000000000001,473.3,1.96,414.9,7071.100000000001,7900.900000000001,-233.0,414.9,-3.1,5.1,7486.0 (±414.9),-233.0 (±414.9),-3.1% (±5.1%),371544,-62.7,111.7,-62.7(±111.7)
Female,Hungary,2020,7253.0,8123.0,7413.0,7240.0,7212.0,6650.0,7486.000000000001,473.3,1.96,414.9,7071.100000000001,7900.900000000001,-233.0,414.9,-3.1,5.1,7486.0 (±414.9),-233.0 (±414.9),-3.1% (±5.1%),334214,-69.7,124.1,-69.7(±124.1)
Female,Hungary,2020,7253.0,8123.0,7413.0,7240.0,7212.0,6650.0,7486.000000000001,473.3,1.96,414.9,7071.100000000001,7900.900000000001,-233.0,414.9,-3.1,5.1,7486.0 (±414.9),-233.0 (±414.9),-3.1% (±5.1%),298549,-78.0,138.9,-78.0(±138.9)
Female,Hungary,2020,7253.0,8123.0,7413.0,7240.0,7212.0,6650.0,7486.000000000001,473.3,1.96,414.9,7071.100000000001,7900.900000000001,-233.0,414.9,-3.1,5.1,7486.0 (±414.9),-233.0 (±414.9),-3.1% (±5.1%),355746,-65.5,116.6,-65.5(±116.6)
Female,Iceland,2020,111.0,110.0,107.0,85.0,101.0,107.0,104.39999999999999,9.0,1.96,7.9,96.49999999999999,112.3,6.6,7.9,6.3,7.5,104.4 (±7.9),6.6 (±7.9),6.3% (±7.5%),11454,57.6,69.0,57.6(±69.0)
Female,Iceland,2020,111.0,110.0,107.0,85.0,101.0,107.0,104.39999999999999,9.0,1.96,7.9,96.49999999999999,112.3,6.6,7.9,6.3,7.5,104.4 (±7.9),6.6 (±7.9),6.3% (±7.5%),10958,60.2,72.1,60.2(±72.1)
Female,Iceland,2020,111.0,110.0,107.0,85.0,101.0,107.0,104.39999999999999,9.0,1.96,7.9,96.49999999999999,112.3,6.6,7.9,6.3,7.5,104.4 (±7.9),6.6 (±7.9),6.3% (±7.5%),10795,61.1,73.2,61.1(±73.2)
Female,Iceland,2020,111.0,110.0,107.0,85.0,101.0,107.0,104.39999999999999,9.0,1.96,7.9,96.49999999999999,112.3,6.6,7.9,6.3,7.5,104.4 (±7.9),6.6 (±7.9),6.3% (±7.5%),10980,60.1,72.0,60.1(±72.0)
Female,Iceland,2020,111.0,110.0,107.0,85.0,101.0,107.0,104.39999999999999,9.0,1.96,7.9,96.49999999999999,112.3,6.6,7.9,6.3,7.5,104.4 (±7.9),6.6 (±7.9),6.3% (±7.5%),10145,65.1,77.8,65.1(±77.8)
Female,Italy,2020,21010.0,20143.0,19100.0,19191.0,19001.0,18772.0,19640.599999999995,471.9,1.96,413.6,19226.999999999996,20054.199999999993,1369.4,413.6,7.0,2.2,19640.6 (±413.6),1369.4 (±413.6),7.0% (±2.2%),2098266,65.3,19.7,65.3(±19.7)
Female,Italy,2020,21010.0,20143.0,19100.0,19191.0,19001.0,18772.0,19640.599999999995,471.9,1.96,413.6,19226.999999999996,20054.199999999993,1369.4,413.6,7.0,2.2,19640.6 (±413.6),1369.4 (±413.6),7.0% (±2.2%),2392965,57.2,17.3,57.2(±17.3)
Female,Italy,2020,21010.0,20143.0,19100.0,19191.0,19001.0,18772.0,19640.599999999995,471.9,1.96,413.6,19226.999999999996,20054.199999999993,1369.4,413.6,7.0,2.2,19640.6 (±413.6),1369.4 (±413.6),7.0% (±2.2%),2472560,55.4,16.7,55.4(±16.7)
Female,Italy,2020,21010.0,20143.0,19100.0,19191.0,19001.0,18772.0,19640.599999999995,471.9,1.96,413.6,19226.999999999996,20054.199999999993,1369.4,413.6,7.0,2.2,19640.6 (±413.6),1369.4 (±413.6),7.0% (±2.2%),2324483,58.9,17.8,58.9(±17.8)
Female,Italy,2020,21010.0,20143.0,19100.0,19191.0,19001.0,18772.0,19640.599999999995,471.9,1.96,413.6,19226.999999999996,20054.199999999993,1369.4,413.6,7.0,2.2,19640.6 (±413.6),1369.4 (±413.6),7.0% (±2.2%),2018428,67.8,20.5,67.8(±20.5)
Female,Latvia,2020,1399.0,1504.0,1377.0,1392.0,1406.0,1333.0,1436.8,56.4,1.96,49.4,1387.3999999999999,1486.2,-37.8,49.4,-2.6,3.3,1436.8 (±49.4),-37.8 (±49.4),-2.6% (±3.3%),62662,-60.3,78.8,-60.3(±78.8)
Female,Latvia,2020,1399.0,1504.0,1377.0,1392.0,1406.0,1333.0,1436.8,56.4,1.96,49.4,1387.3999999999999,1486.2,-37.8,49.4,-2.6,3.3,1436.8 (±49.4),-37.8 (±49.4),-2.6% (±3.3%),67749,-55.8,72.9,-55.8(±72.9)
