Sex,Location,Year,Week,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Female,Dobrich,2020,22,2,1.0,2.0,1.0,1.0,3.0,1.6,0.8,1.96,0.7,0.9000000000000001,2.3,0.4,0.7,25.0,38.0,1.6 (±0.7),0.4 (±0.7),25.0% (±38.0%)
Female,Dobrich,2020,23,4,3.0,3.0,4.0,5.0,2.0,3.4,1.0,1.96,0.9,2.5,4.3,0.6,0.9,17.6,24.6,3.4 (±0.9),0.6 (±0.9),17.6% (±24.6%)
Female,Dobrich,2020,24,1,1.0,3.0,2.0,3.0,1.0,2.0,0.9,1.96,0.8,1.2,2.8,-1.0,0.8,-50.0,14.3,2.0 (±0.8),-1.0 (±0.8),-50.0% (±14.3%)
Female,Dobrich,2020,25,4,4.0,2.0,1.0,4.0,1.0,2.4,1.4,1.96,1.2,1.2,3.5999999999999996,1.6,1.2,66.7,55.6,2.4 (±1.2),1.6 (±1.2),66.7% (±55.6%)
Female,Dobrich,2020,26,0,2.0,2.0,3.0,2.0,1.0,2.0,0.6,1.96,0.5,1.5,2.5,-2.0,0.5,-100.0,0.0,2.0 (±0.5),-2.0 (±0.5),-100.0% (±0.0%)
Female,Dobrich,2020,27,2,3.0,1.0,1.0,1.0,5.0,2.2,1.6,1.96,1.4,0.8000000000000003,3.6,-0.2,1.4,-9.1,35.3,2.2 (±1.4),-0.2 (±1.4),-9.1% (±35.3%)
Female,Dobrich,2020,28,2,2.0,3.0,2.0,0.0,3.0,2.0,1.1,1.96,1.0,1.0,3.0,0.0,1.0,0.0,33.3,2.0 (±1.0),0.0 (±1.0),0.0% (±33.3%)
Female,Dobrich,2020,29,4,1.0,2.0,0.0,1.0,4.0,1.6,1.4,1.96,1.2,0.40000000000000013,2.8,2.4,1.2,150.0,107.1,1.6 (±1.2),2.4 (±1.2),150.0% (±107.1%)
Female,Dobrich,2020,30,3,1.0,0.0,1.0,2.0,1.0,1.0,0.6,1.96,0.5,0.5,1.5,2.0,0.5,200.0,100.0,1.0 (±0.5),2.0 (±0.5),200.0% (±100.0%)
Female,Dobrich,2020,31,1,1.0,3.0,3.0,2.0,1.0,2.0,0.9,1.96,0.8,1.2,2.8,-1.0,0.8,-50.0,14.3,2.0 (±0.8),-1.0 (±0.8),-50.0% (±14.3%)
Female,Dobrich,2020,32,7,0.0,1.0,1.0,3.0,0.0,1.0,1.1,1.96,1.0,0.0,2.0,6.0,1.0,600.0,350.0,1.0 (±1.0),6.0 (±1.0),600.0% (±350.0%)
Female,Dobrich,2020,33,4,3.0,2.0,2.0,4.0,4.0,3.0,0.9,1.96,0.8,2.2,3.8,1.0,0.8,33.3,28.0,3.0 (±0.8),1.0 (±0.8),33.3% (±28.0%)
Female,Dobrich,2020,34,6,2.0,3.0,4.0,0.0,1.0,2.0,1.4,1.96,1.2,0.8,3.2,4.0,1.2,200.0,112.5,2.0 (±1.2),4.0 (±1.2),200.0% (±112.5%)
Female,Dobrich,2020,35,4,1.0,4.0,1.0,2.0,1.0,1.8,1.2,1.96,1.1,0.7,2.9000000000000004,2.2,1.1,122.2,84.3,1.8 (±1.1),2.2 (±1.1),122.2% (±84.3%)
Female,Dobrich,2020,36,5,6.0,2.0,1.0,4.0,0.0,2.6,2.2,1.96,1.9,0.7000000000000002,4.5,2.4,1.9,92.3,81.2,2.6 (±1.9),2.4 (±1.9),92.3% (±81.2%)
Female,Dobrich,2020,37,3,3.0,3.0,0.0,3.0,5.0,2.8,1.6,1.96,1.4,1.4,4.199999999999999,0.2,1.4,7.1,35.7,2.8 (±1.4),0.2 (±1.4),7.1% (±35.7%)
