Age,Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
(45-49),Female,Plovdiv,2020,68,441.0,484.0,428.0,419.0,388.0,438.4000000000001,31.3,1.96,27.4,411.0000000000001,465.80000000000007,-370.4,27.4,-84.5,0.9,438.4 (±27.4),-370.4 (±27.4),-84.5% (±0.9%)
(50-54),Female,Plovdiv,2020,76,441.0,484.0,428.0,419.0,388.0,438.4000000000001,31.3,1.96,27.4,411.0000000000001,465.80000000000007,-362.4,27.4,-82.7,1.0,438.4 (±27.4),-362.4 (±27.4),-82.7% (±1.0%)
(55-59),Female,Plovdiv,2020,150,441.0,484.0,428.0,419.0,388.0,438.4000000000001,31.3,1.96,27.4,411.0000000000001,465.80000000000007,-288.4,27.4,-65.8,2.0,438.4 (±27.4),-288.4 (±27.4),-65.8% (±2.0%)
(60-64),Female,Plovdiv,2020,232,441.0,484.0,428.0,419.0,388.0,438.4000000000001,31.3,1.96,27.4,411.0000000000001,465.80000000000007,-206.4,27.4,-47.1,3.1,438.4 (±27.4),-206.4 (±27.4),-47.1% (±3.1%)
(40-44),Female,Razgrad,2020,7,103.0,102.0,110.0,77.0,73.0,96.2,15.0,1.96,13.1,83.10000000000001,109.3,-89.2,13.1,-92.7,0.9,96.2 (±13.1),-89.2 (±13.1),-92.7% (±0.9%)
(45-49),Female,Razgrad,2020,9,103.0,102.0,110.0,77.0,73.0,96.2,15.0,1.96,13.1,83.10000000000001,109.3,-87.2,13.1,-90.6,1.2,96.2 (±13.1),-87.2 (±13.1),-90.6% (±1.2%)
(50-54),Female,Razgrad,2020,20,103.0,102.0,110.0,77.0,73.0,96.2,15.0,1.96,13.1,83.10000000000001,109.3,-76.2,13.1,-79.2,2.5,96.2 (±13.1),-76.2 (±13.1),-79.2% (±2.5%)
(55-59),Female,Razgrad,2020,28,103.0,102.0,110.0,77.0,73.0,96.2,15.0,1.96,13.1,83.10000000000001,109.3,-68.2,13.1,-70.9,3.5,96.2 (±13.1),-68.2 (±13.1),-70.9% (±3.5%)
(60-64),Female,Razgrad,2020,61,103.0,102.0,110.0,77.0,73.0,96.2,15.0,1.96,13.1,83.10000000000001,109.3,-35.2,13.1,-36.6,7.6,96.2 (±13.1),-35.2 (±13.1),-36.6% (±7.6%)
(40-44),Female,Ruse,2020,10,176.0,166.0,160.0,179.0,159.0,171.2,8.2,1.96,7.2,164.0,178.39999999999998,-161.2,7.2,-94.2,0.2,171.2 (±7.2),-161.2 (±7.2),-94.2% (±0.2%)
