index,Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
841,Total,Total,Sofia,97,2020,32,50.0,57.0,74.0,69.0,89.0,67.8,13.6,1.96,11.9,55.9,79.7,29.2,11.9,43.1,21.4,67.8 (±11.9),29.2 (±11.9),43.1% (±21.4%)
842,Total,Total,Blagoevgrad,94,2020,32,76.0,58.0,74.0,74.0,71.0,70.6,6.5,1.96,5.7,64.89999999999999,76.3,23.4,5.7,33.1,9.9,70.6 (±5.7),23.4 (±5.7),33.1% (±9.9%)
843,Total,Total,Pernik,48,2020,32,41.0,31.0,50.0,43.0,51.0,43.2,7.2,1.96,6.3,36.900000000000006,49.5,4.8,6.3,11.1,14.1,43.2 (±6.3),4.8 (±6.3),11.1% (±14.1%)
844,Total,Total,Kyustendil,61,2020,32,36.0,40.0,54.0,43.0,39.0,42.4,6.2,1.96,5.4,37.0,47.8,18.6,5.4,43.9,16.3,42.4 (±5.4),18.6 (±5.4),43.9% (±16.3%)
845,Total,Total,Yuzhen tsentralen,388,2020,32,417.0,388.0,416.0,349.0,382.0,390.4,25.1,1.96,22.0,368.4,412.4,-2.4,22.0,-0.6,5.3,390.4 (±22.0),-2.4 (±22.0),-0.6% (±5.3%)
846,Total,Total,Plovdiv,173,2020,32,204.0,180.0,209.0,167.0,179.0,187.8,16.0,1.96,14.0,173.8,201.8,-14.8,14.0,-7.9,6.4,187.8 (±14.0),-14.8 (±14.0),-7.9% (±6.4%)
847,Total,Total,Haskovo,69,2020,32,72.0,56.0,73.0,59.0,69.0,65.8,7.0,1.96,6.1,59.699999999999996,71.89999999999999,3.2,6.1,4.9,8.9,65.8 (±6.1),3.2 (±6.1),4.9% (±8.9%)
848,Total,Total,Pazardzhik,74,2020,32,71.0,70.0,74.0,58.0,77.0,70.0,6.5,1.96,5.7,64.3,75.7,4.0,5.7,5.7,7.9,70.0 (±5.7),4.0 (±5.7),5.7% (±7.9%)
849,Total,Total,Smolyan,36,2020,32,24.0,37.0,24.0,28.0,32.0,29.0,5.0,1.96,4.4,24.6,33.4,7.0,4.4,24.1,16.3,29.0 (±4.4),7.0 (±4.4),24.1% (±16.3%)
850,Total,Total,Kardzhali,36,2020,32,46.0,45.0,36.0,37.0,25.0,37.8,7.6,1.96,6.7,31.099999999999998,44.5,-1.8,6.7,-4.8,14.3,37.8 (±6.7),-1.8 (±6.7),-4.8% (±14.3%)
851,Total,Total,Bulgaria,1975,2020,33,1939.0,1804.0,1772.0,1860.0,1920.0,1859.0,64.4,1.96,56.4,1802.6,1915.4,116.0,56.4,6.2,3.1,1859.0 (±56.4),116.0 (±56.4),6.2% (±3.1%)
852,Total,Total,Severna i yugoiztochna Bulgaria,1039,2020,33,1109.0,1017.0,936.0,1000.0,1038.0,1020.0,56.1,1.96,49.2,970.8,1069.2,19.0,49.2,1.9,4.7,1020.0 (±49.2),19.0 (±49.2),1.9% (±4.7%)
853,Total,Total,Severozapaden,227,2020,33,319.0,254.0,242.0,275.0,278.0,273.6,26.3,1.96,23.1,250.50000000000003,296.70000000000005,-46.6,23.1,-17.0,6.5,273.6 (±23.1),-46.6 (±23.1),-17.0% (±6.5%)
854,Total,Total,Vidin,29,2020,33,48.0,30.0,32.0,51.0,29.0,38.0,9.5,1.96,8.3,29.7,46.3,-9.0,8.3,-23.7,13.7,38.0 (±8.3),-9.0 (±8.3),-23.7% (±13.7%)
855,Total,Total,Montana,26,2020,33,57.0,40.0,48.0,54.0,49.0,49.6,5.8,1.96,5.1,44.5,54.7,-23.6,5.1,-47.6,4.9,49.6 (±5.1),-23.6 (±5.1),-47.6% (±4.9%)
856,Total,Total,Vratsa,52,2020,33,67.0,57.0,49.0,47.0,64.0,56.8,7.9,1.96,6.9,49.9,63.699999999999996,-4.8,6.9,-8.5,9.9,56.8 (±6.9),-4.8 (±6.9),-8.5% (±9.9%)
857,Total,Total,Pleven,84,2020,33,98.0,76.0,62.0,73.0,85.0,78.8,12.1,1.96,10.6,68.2,89.39999999999999,5.2,10.6,6.6,12.6,78.8 (±10.6),5.2 (±10.6),6.6% (±12.6%)
858,Total,Total,Lovech,36,2020,33,49.0,51.0,51.0,50.0,51.0,50.4,0.8,1.96,0.7,49.699999999999996,51.1,-14.4,0.7,-28.6,0.9,50.4 (±0.7),-14.4 (±0.7),-28.6% (±0.9%)
859,Total,Total,Severen tsentralen,240,2020,33,265.0,223.0,216.0,240.0,244.0,237.6,17.2,1.96,15.1,222.5,252.7,2.4,15.1,1.0,6.0,237.6 (±15.1),2.4 (±15.1),1.0% (±6.0%)
860,Total,Total,Veliko Tarnovo,75,2020,33,74.0,66.0,72.0,71.0,68.0,70.2,2.9,1.96,2.5,67.7,72.7,4.8,2.5,6.8,3.6,70.2 (±2.5),4.8 (±2.5),6.8% (±3.6%)
861,Total,Total,Gabrovo,22,2020,33,50.0,44.0,38.0,42.0,36.0,42.0,4.9,1.96,4.3,37.7,46.3,-20.0,4.3,-47.6,4.9,42.0 (±4.3),-20.0 (±4.3),-47.6% (±4.9%)
862,Total,Total,Ruse,72,2020,33,70.0,59.0,48.0,63.0,73.0,62.6,8.8,1.96,7.7,54.9,70.3,9.4,7.7,15.0,12.6,62.6 (±7.7),9.4 (±7.7),15.0% (±12.6%)
863,Total,Total,Razgrad,31,2020,33,32.0,29.0,28.0,24.0,34.0,29.4,3.4,1.96,3.0,26.4,32.4,1.6,3.0,5.4,9.7,29.4 (±3.0),1.6 (±3.0),5.4% (±9.7%)
864,Total,Total,Silistra,40,2020,33,39.0,25.0,30.0,40.0,33.0,33.4,5.6,1.96,4.9,28.5,38.3,6.6,4.9,19.8,15.4,33.4 (±4.9),6.6 (±4.9),19.8% (±15.4%)
865,Total,Total,Severoiztochen,305,2020,33,236.0,253.0,216.0,227.0,219.0,230.2,13.3,1.96,11.7,218.5,241.89999999999998,74.8,11.7,32.5,6.4,230.2 (±11.7),74.8 (±11.7),32.5% (±6.4%)
866,Total,Total,Varna,130,2020,33,113.0,118.0,89.0,114.0,101.0,107.0,10.6,1.96,9.3,97.7,116.3,23.0,9.3,21.5,9.7,107.0 (±9.3),23.0 (±9.3),21.5% (±9.7%)
867,Total,Total,Dobrich,86,2020,33,51.0,51.0,54.0,45.0,46.0,49.4,3.4,1.96,3.0,46.4,52.4,36.6,3.0,74.1,10.0,49.4 (±3.0),36.6 (±3.0),74.1% (±10.0%)
868,Total,Total,Shumen,52,2020,33,45.0,52.0,41.0,48.0,35.0,44.2,5.8,1.96,5.1,39.1,49.300000000000004,7.8,5.1,17.6,12.1,44.2 (±5.1),7.8 (±5.1),17.6% (±12.1%)
869,Total,Total,Targovishte,37,2020,33,27.0,32.0,32.0,20.0,37.0,29.6,5.7,1.96,5.0,24.6,34.6,7.4,5.0,25.0,18.1,29.6 (±5.0),7.4 (±5.0),25.0% (±18.1%)
870,Total,Total,Yugoiztochen,267,2020,33,289.0,287.0,262.0,258.0,297.0,278.6,15.6,1.96,13.7,264.90000000000003,292.3,-11.6,13.7,-4.2,4.5,278.6 (±13.7),-11.6 (±13.7),-4.2% (±4.5%)
871,Total,Total,Burgas,112,2020,33,106.0,97.0,95.0,88.0,105.0,98.2,6.7,1.96,5.9,92.3,104.10000000000001,13.8,5.9,14.1,6.5,98.2 (±5.9),13.8 (±5.9),14.1% (±6.5%)
872,Total,Total,Sliven,38,2020,33,60.0,51.0,45.0,50.0,60.0,53.2,5.9,1.96,5.2,48.0,58.400000000000006,-15.2,5.2,-28.6,6.3,53.2 (±5.2),-15.2 (±5.2),-28.6% (±6.3%)
873,Total,Total,Yambol,38,2020,33,49.0,37.0,39.0,45.0,44.0,42.8,4.3,1.96,3.8,39.0,46.599999999999994,-4.8,3.8,-11.2,7.3,42.8 (±3.8),-4.8 (±3.8),-11.2% (±7.3%)
874,Total,Total,Stara Zagora,79,2020,33,74.0,102.0,83.0,75.0,88.0,84.4,10.2,1.96,8.9,75.5,93.30000000000001,-5.4,8.9,-6.4,8.9,84.4 (±8.9),-5.4 (±8.9),-6.4% (±8.9%)
875,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,936,2020,33,830.0,787.0,836.0,860.0,882.0,839.0,31.9,1.96,28.0,811.0,867.0,97.0,28.0,11.6,3.6,839.0 (±28.0),97.0 (±28.0),11.6% (±3.6%)
876,Total,Total,Yugozapaden,520,2020,33,475.0,445.0,467.0,500.0,506.0,478.6,22.3,1.96,19.5,459.1,498.1,41.4,19.5,8.7,4.3,478.6 (±19.5),41.4 (±19.5),8.7% (±4.3%)
877,Total,Total,Sofia (stolitsa),284,2020,33,282.0,231.0,247.0,271.0,278.0,261.8,19.6,1.96,17.2,244.60000000000002,279.0,22.2,17.2,8.5,6.7,261.8 (±17.2),22.2 (±17.2),8.5% (±6.7%)
878,Total,Total,Sofia,67,2020,33,63.0,74.0,76.0,76.0,64.0,70.6,5.9,1.96,5.2,65.39999999999999,75.8,-3.6,5.2,-5.1,6.5,70.6 (±5.2),-3.6 (±5.2),-5.1% (±6.5%)
879,Total,Total,Blagoevgrad,80,2020,33,67.0,69.0,71.0,63.0,75.0,69.0,4.0,1.96,3.5,65.5,72.5,11.0,3.5,15.9,5.6,69.0 (±3.5),11.0 (±3.5),15.9% (±5.6%)
880,Total,Total,Pernik,46,2020,33,31.0,30.0,38.0,41.0,44.0,36.8,5.5,1.96,4.8,31.999999999999996,41.599999999999994,9.2,4.8,25.0,14.4,36.8 (±4.8),9.2 (±4.8),25.0% (±14.4%)
881,Total,Total,Kyustendil,43,2020,33,32.0,41.0,35.0,49.0,45.0,40.4,6.2,1.96,5.4,35.0,45.8,2.6,5.4,6.4,12.5,40.4 (±5.4),2.6 (±5.4),6.4% (±12.5%)
882,Total,Total,Yuzhen tsentralen,416,2020,33,355.0,342.0,369.0,360.0,376.0,360.4,11.7,1.96,10.3,350.09999999999997,370.7,55.6,10.3,15.4,3.2,360.4 (±10.3),55.6 (±10.3),15.4% (±3.2%)
883,Total,Total,Plovdiv,185,2020,33,157.0,171.0,162.0,159.0,181.0,166.0,8.9,1.96,7.8,158.2,173.8,19.0,7.8,11.4,5.0,166.0 (±7.8),19.0 (±7.8),11.4% (±5.0%)
884,Total,Total,Haskovo,59,2020,33,73.0,51.0,73.0,67.0,63.0,65.4,8.1,1.96,7.1,58.300000000000004,72.5,-6.4,7.1,-9.8,8.8,65.4 (±7.1),-6.4 (±7.1),-9.8% (±8.8%)
885,Total,Total,Pazardzhik,90,2020,33,72.0,61.0,72.0,72.0,65.0,68.4,4.6,1.96,4.0,64.4,72.4,21.6,4.0,31.6,7.3,68.4 (±4.0),21.6 (±4.0),31.6% (±7.3%)
886,Total,Total,Smolyan,47,2020,33,25.0,28.0,32.0,29.0,38.0,30.4,4.4,1.96,3.9,26.5,34.3,16.6,3.9,54.6,17.6,30.4 (±3.9),16.6 (±3.9),54.6% (±17.6%)
887,Total,Total,Kardzhali,35,2020,33,28.0,31.0,30.0,33.0,29.0,30.2,1.7,1.96,1.5,28.7,31.7,4.8,1.5,15.9,5.5,30.2 (±1.5),4.8 (±1.5),15.9% (±5.5%)
888,Total,Total,Bulgaria,1911,2020,34,1784.0,1865.0,1763.0,1825.0,1934.0,1834.2,61.0,1.96,53.5,1780.7,1887.7,76.8,53.5,4.2,3.0,1834.2 (±53.5),76.8 (±53.5),4.2% (±3.0%)
889,Total,Total,Severna i yugoiztochna Bulgaria,1005,2020,34,952.0,1000.0,920.0,1006.0,1056.0,986.8,46.9,1.96,41.1,945.6999999999999,1027.8999999999999,18.2,41.1,1.8,4.0,986.8 (±41.1),18.2 (±41.1),1.8% (±4.0%)
890,Total,Total,Severozapaden,255,2020,34,244.0,252.0,242.0,262.0,270.0,254.0,10.7,1.96,9.4,244.6,263.4,1.0,9.4,0.4,3.6,254.0 (±9.4),1.0 (±9.4),0.4% (±3.6%)
891,Total,Total,Vidin,43,2020,34,27.0,34.0,25.0,44.0,34.0,32.8,6.7,1.96,5.9,26.9,38.699999999999996,10.2,5.9,31.1,20.0,32.8 (±5.9),10.2 (±5.9),31.1% (±20.0%)
892,Total,Total,Montana,46,2020,34,39.0,43.0,43.0,48.0,43.0,43.2,2.9,1.96,2.5,40.7,45.7,2.8,2.5,6.5,5.8,43.2 (±2.5),2.8 (±2.5),6.5% (±5.8%)
893,Total,Total,Vratsa,47,2020,34,68.0,62.0,53.0,50.0,47.0,56.0,7.8,1.96,6.8,49.2,62.8,-9.0,6.8,-16.1,9.1,56.0 (±6.8),-9.0 (±6.8),-16.1% (±9.1%)
894,Total,Total,Pleven,78,2020,34,67.0,77.0,82.0,81.0,103.0,82.0,11.8,1.96,10.3,71.7,92.3,-4.0,10.3,-4.9,10.6,82.0 (±10.3),-4.0 (±10.3),-4.9% (±10.6%)
895,Total,Total,Lovech,41,2020,34,43.0,36.0,39.0,39.0,43.0,40.0,2.7,1.96,2.4,37.6,42.4,1.0,2.4,2.5,5.8,40.0 (±2.4),1.0 (±2.4),2.5% (±5.8%)
896,Total,Total,Severen tsentralen,215,2020,34,217.0,246.0,183.0,223.0,248.0,223.4,23.6,1.96,20.7,202.70000000000002,244.1,-8.4,20.7,-3.8,8.1,223.4 (±20.7),-8.4 (±20.7),-3.8% (±8.1%)
897,Total,Total,Veliko Tarnovo,58,2020,34,75.0,79.0,54.0,60.0,81.0,69.8,10.8,1.96,9.5,60.3,79.3,-11.8,9.5,-16.9,10.0,69.8 (±9.5),-11.8 (±9.5),-16.9% (±10.0%)
898,Total,Total,Gabrovo,31,2020,34,35.0,33.0,36.0,36.0,27.0,33.4,3.4,1.96,3.0,30.4,36.4,-2.4,3.0,-7.2,7.6,33.4 (±3.0),-2.4 (±3.0),-7.2% (±7.6%)
899,Total,Total,Ruse,64,2020,34,49.0,67.0,45.0,68.0,70.0,59.8,10.6,1.96,9.3,50.5,69.1,4.2,9.3,7.0,14.4,59.8 (±9.3),4.2 (±9.3),7.0% (±14.4%)
900,Total,Total,Razgrad,33,2020,34,23.0,40.0,24.0,29.0,33.0,29.8,6.2,1.96,5.4,24.4,35.2,3.2,5.4,10.7,17.0,29.8 (±5.4),3.2 (±5.4),10.7% (±17.0%)
901,Total,Total,Silistra,29,2020,34,35.0,27.0,24.0,30.0,37.0,30.6,4.8,1.96,4.2,26.400000000000002,34.800000000000004,-1.6,4.2,-5.2,11.5,30.6 (±4.2),-1.6 (±4.2),-5.2% (±11.5%)
902,Total,Total,Severoiztochen,265,2020,34,224.0,258.0,243.0,253.0,243.0,244.2,11.7,1.96,10.3,233.89999999999998,254.5,20.8,10.3,8.5,4.4,244.2 (±10.3),20.8 (±10.3),8.5% (±4.4%)
903,Total,Total,Varna,112,2020,34,99.0,121.0,117.0,118.0,107.0,112.4,8.2,1.96,7.2,105.2,119.60000000000001,-0.4,7.2,-0.4,6.0,112.4 (±7.2),-0.4 (±7.2),-0.4% (±6.0%)
904,Total,Total,Dobrich,85,2020,34,46.0,53.0,54.0,52.0,54.0,51.8,3.0,1.96,2.6,49.199999999999996,54.4,33.2,2.6,64.1,7.8,51.8 (±2.6),33.2 (±2.6),64.1% (±7.8%)
905,Total,Total,Shumen,36,2020,34,52.0,57.0,41.0,49.0,48.0,49.4,5.2,1.96,4.6,44.8,54.0,-13.4,4.6,-27.1,6.2,49.4 (±4.6),-13.4 (±4.6),-27.1% (±6.2%)
906,Total,Total,Targovishte,32,2020,34,27.0,27.0,31.0,34.0,34.0,30.6,3.1,1.96,2.7,27.900000000000002,33.300000000000004,1.4,2.7,4.6,8.5,30.6 (±2.7),1.4 (±2.7),4.6% (±8.5%)
907,Total,Total,Yugoiztochen,270,2020,34,267.0,244.0,252.0,268.0,295.0,265.2,17.5,1.96,15.3,249.89999999999998,280.5,4.8,15.3,1.8,5.5,265.2 (±15.3),4.8 (±15.3),1.8% (±5.5%)
908,Total,Total,Burgas,97,2020,34,90.0,102.0,93.0,88.0,112.0,97.0,8.9,1.96,7.8,89.2,104.8,0.0,7.8,0.0,7.4,97.0 (±7.8),0.0 (±7.8),0.0% (±7.4%)
909,Total,Total,Sliven,46,2020,34,47.0,41.0,54.0,41.0,56.0,47.8,6.3,1.96,5.5,42.3,53.3,-1.8,5.5,-3.8,9.9,47.8 (±5.5),-1.8 (±5.5),-3.8% (±9.9%)
910,Total,Total,Yambol,32,2020,34,37.0,21.0,34.0,34.0,38.0,32.8,6.1,1.96,5.3,27.499999999999996,38.099999999999994,-0.8,5.3,-2.4,13.6,32.8 (±5.3),-0.8 (±5.3),-2.4% (±13.6%)
911,Total,Total,Stara Zagora,95,2020,34,93.0,80.0,71.0,105.0,89.0,87.6,11.6,1.96,10.2,77.39999999999999,97.8,7.4,10.2,8.4,11.3,87.6 (±10.2),7.4 (±10.2),8.4% (±11.3%)
912,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,906,2020,34,832.0,865.0,843.0,819.0,878.0,847.4,21.5,1.96,18.8,828.6,866.1999999999999,58.6,18.8,6.9,2.3,847.4 (±18.8),58.6 (±18.8),6.9% (±2.3%)
913,Total,Total,Yugozapaden,491,2020,34,436.0,482.0,513.0,468.0,502.0,480.2,27.0,1.96,23.7,456.5,503.9,10.8,23.7,2.2,4.8,480.2 (±23.7),10.8 (±23.7),2.2% (±4.8%)
914,Total,Total,Sofia (stolitsa),283,2020,34,242.0,260.0,287.0,248.0,278.0,263.0,17.2,1.96,15.1,247.9,278.1,20.0,15.1,7.6,5.8,263.0 (±15.1),20.0 (±15.1),7.6% (±5.8%)
915,Total,Total,Sofia,69,2020,34,63.0,65.0,71.0,79.0,73.0,70.2,5.7,1.96,5.0,65.2,75.2,-1.2,5.0,-1.7,6.5,70.2 (±5.0),-1.2 (±5.0),-1.7% (±6.5%)
916,Total,Total,Blagoevgrad,69,2020,34,62.0,68.0,70.0,64.0,68.0,66.4,2.9,1.96,2.5,63.900000000000006,68.9,2.6,2.5,3.9,3.8,66.4 (±2.5),2.6 (±2.5),3.9% (±3.8%)
917,Total,Total,Pernik,35,2020,34,33.0,47.0,38.0,41.0,42.0,40.2,4.6,1.96,4.0,36.2,44.2,-5.2,4.0,-12.9,7.9,40.2 (±4.0),-5.2 (±4.0),-12.9% (±7.9%)
918,Total,Total,Kyustendil,35,2020,34,36.0,42.0,47.0,36.0,41.0,40.4,4.1,1.96,3.6,36.8,44.0,-5.4,3.6,-13.4,7.1,40.4 (±3.6),-5.4 (±3.6),-13.4% (±7.1%)
919,Total,Total,Yuzhen tsentralen,415,2020,34,396.0,383.0,330.0,351.0,376.0,367.2,23.7,1.96,20.8,346.4,388.0,47.8,20.8,13.0,6.0,367.2 (±20.8),47.8 (±20.8),13.0% (±6.0%)
920,Total,Total,Plovdiv,186,2020,34,169.0,173.0,164.0,167.0,180.0,170.6,5.5,1.96,4.8,165.79999999999998,175.4,15.4,4.8,9.0,3.0,170.6 (±4.8),15.4 (±4.8),9.0% (±3.0%)
921,Total,Total,Haskovo,63,2020,34,82.0,78.0,53.0,62.0,54.0,65.8,12.1,1.96,10.6,55.199999999999996,76.39999999999999,-2.8,10.6,-4.3,13.2,65.8 (±10.6),-2.8 (±10.6),-4.3% (±13.2%)
922,Total,Total,Pazardzhik,87,2020,34,71.0,66.0,70.0,58.0,82.0,69.4,7.8,1.96,6.8,62.60000000000001,76.2,17.6,6.8,25.4,11.2,69.4 (±6.8),17.6 (±6.8),25.4% (±11.2%)
923,Total,Total,Smolyan,33,2020,34,33.0,28.0,23.0,26.0,25.0,27.0,3.4,1.96,3.0,24.0,30.0,6.0,3.0,22.2,12.2,27.0 (±3.0),6.0 (±3.0),22.2% (±12.2%)
924,Total,Total,Kardzhali,46,2020,34,41.0,38.0,20.0,38.0,35.0,34.4,7.4,1.96,6.5,27.9,40.9,11.6,6.5,33.7,21.2,34.4 (±6.5),11.6 (±6.5),33.7% (±21.2%)
925,Total,Total,Bulgaria,1937,2020,35,1838.0,1759.0,1805.0,1826.0,1861.0,1817.8,34.5,1.96,30.2,1787.6,1848.0,119.2,30.2,6.6,1.8,1817.8 (±30.2),119.2 (±30.2),6.6% (±1.8%)
926,Total,Total,Severna i yugoiztochna Bulgaria,1027,2020,35,986.0,956.0,955.0,992.0,1000.0,977.8,18.7,1.96,16.4,961.4,994.1999999999999,49.2,16.4,5.0,1.7,977.8 (±16.4),49.2 (±16.4),5.0% (±1.7%)
927,Total,Total,Severozapaden,276,2020,35,249.0,251.0,265.0,213.0,262.0,248.0,18.5,1.96,16.2,231.8,264.2,28.0,16.2,11.3,6.8,248.0 (±16.2),28.0 (±16.2),11.3% (±6.8%)
928,Total,Total,Vidin,37,2020,35,34.0,25.0,30.0,23.0,42.0,30.8,6.8,1.96,6.0,24.8,36.8,6.2,6.0,20.1,19.6,30.8 (±6.0),6.2 (±6.0),20.1% (±19.6%)
929,Total,Total,Montana,52,2020,35,52.0,53.0,52.0,36.0,42.0,47.0,6.8,1.96,6.0,41.0,53.0,5.0,6.0,10.6,12.5,47.0 (±6.0),5.0 (±6.0),10.6% (±12.5%)
930,Total,Total,Vratsa,55,2020,35,38.0,53.0,53.0,53.0,49.0,49.2,5.8,1.96,5.1,44.1,54.300000000000004,5.8,5.1,11.8,10.5,49.2 (±5.1),5.8 (±5.1),11.8% (±10.5%)
931,Total,Total,Pleven,100,2020,35,90.0,83.0,85.0,64.0,86.0,81.6,9.1,1.96,8.0,73.6,89.6,18.4,8.0,22.5,10.9,81.6 (±8.0),18.4 (±8.0),22.5% (±10.9%)
932,Total,Total,Lovech,32,2020,35,35.0,37.0,45.0,37.0,43.0,39.4,3.9,1.96,3.4,36.0,42.8,-7.4,3.4,-18.8,6.4,39.4 (±3.4),-7.4 (±3.4),-18.8% (±6.4%)
933,Total,Total,Severen tsentralen,218,2020,35,223.0,202.0,226.0,256.0,254.0,232.2,20.4,1.96,17.9,214.29999999999998,250.1,-14.2,17.9,-6.1,6.7,232.2 (±17.9),-14.2 (±17.9),-6.1% (±6.7%)
934,Total,Total,Veliko Tarnovo,65,2020,35,63.0,62.0,70.0,79.0,83.0,71.4,8.4,1.96,7.4,64.0,78.80000000000001,-6.4,7.4,-9.0,8.5,71.4 (±7.4),-6.4 (±7.4),-9.0% (±8.5%)
935,Total,Total,Gabrovo,32,2020,35,36.0,35.0,42.0,33.0,24.0,34.0,5.8,1.96,5.1,28.9,39.1,-2.0,5.1,-5.9,12.3,34.0 (±5.1),-2.0 (±5.1),-5.9% (±12.3%)
936,Total,Total,Ruse,59,2020,35,63.0,38.0,56.0,79.0,75.0,62.2,14.6,1.96,12.8,49.400000000000006,75.0,-3.2,12.8,-5.1,16.2,62.2 (±12.8),-3.2 (±12.8),-5.1% (±16.2%)
937,Total,Total,Razgrad,29,2020,35,24.0,26.0,25.0,26.0,36.0,27.4,4.4,1.96,3.9,23.5,31.299999999999997,1.6,3.9,5.8,13.1,27.4 (±3.9),1.6 (±3.9),5.8% (±13.1%)
938,Total,Total,Silistra,33,2020,35,37.0,41.0,33.0,39.0,36.0,37.2,2.7,1.96,2.4,34.800000000000004,39.6,-4.2,2.4,-11.3,5.4,37.2 (±2.4),-4.2 (±2.4),-11.3% (±5.4%)
939,Total,Total,Severoiztochen,262,2020,35,221.0,252.0,222.0,245.0,208.0,229.6,16.4,1.96,14.4,215.2,244.0,32.4,14.4,14.1,6.7,229.6 (±14.4),32.4 (±14.4),14.1% (±6.7%)
940,Total,Total,Varna,111,2020,35,101.0,121.0,102.0,99.0,93.0,103.2,9.4,1.96,8.2,95.0,111.4,7.8,8.2,7.6,8.0,103.2 (±8.2),7.8 (±8.2),7.6% (±8.0%)
941,Total,Total,Dobrich,64,2020,35,41.0,55.0,49.0,55.0,45.0,49.0,5.5,1.96,4.8,44.2,53.8,15.0,4.8,30.6,11.6,49.0 (±4.8),15.0 (±4.8),30.6% (±11.6%)
942,Total,Total,Shumen,57,2020,35,56.0,46.0,38.0,61.0,51.0,50.4,8.0,1.96,7.0,43.4,57.4,6.6,7.0,13.1,13.8,50.4 (±7.0),6.6 (±7.0),13.1% (±13.8%)
943,Total,Total,Targovishte,30,2020,35,23.0,30.0,33.0,30.0,19.0,27.0,5.2,1.96,4.6,22.4,31.6,3.0,4.6,11.1,16.2,27.0 (±4.6),3.0 (±4.6),11.1% (±16.2%)
944,Total,Total,Yugoiztochen,271,2020,35,293.0,251.0,242.0,278.0,276.0,268.0,18.7,1.96,16.4,251.6,284.4,3.0,16.4,1.1,5.8,268.0 (±16.4),3.0 (±16.4),1.1% (±5.8%)
945,Total,Total,Burgas,98,2020,35,104.0,97.0,81.0,90.0,105.0,95.4,9.0,1.96,7.9,87.5,103.30000000000001,2.6,7.9,2.7,7.8,95.4 (±7.9),2.6 (±7.9),2.7% (±7.8%)
946,Total,Total,Sliven,45,2020,35,46.0,42.0,59.0,49.0,50.0,49.2,5.6,1.96,4.9,44.300000000000004,54.1,-4.2,4.9,-8.5,8.3,49.2 (±4.9),-4.2 (±4.9),-8.5% (±8.3%)
947,Total,Total,Yambol,37,2020,35,44.0,34.0,34.0,51.0,36.0,39.8,6.7,1.96,5.9,33.9,45.699999999999996,-2.8,5.9,-7.0,12.0,39.8 (±5.9),-2.8 (±5.9),-7.0% (±12.0%)
948,Total,Total,Stara Zagora,91,2020,35,99.0,78.0,68.0,88.0,85.0,83.6,10.3,1.96,9.0,74.6,92.6,7.4,9.0,8.9,10.6,83.6 (±9.0),7.4 (±9.0),8.9% (±10.6%)
949,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,910,2020,35,852.0,803.0,850.0,834.0,861.0,840.0,20.4,1.96,17.9,822.1,857.9,70.0,17.9,8.3,2.2,840.0 (±17.9),70.0 (±17.9),8.3% (±2.2%)
950,Total,Total,Yugozapaden,484,2020,35,484.0,477.0,481.0,461.0,500.0,480.6,12.5,1.96,11.0,469.6,491.6,3.4,11.0,0.7,2.2,480.6 (±11.0),3.4 (±11.0),0.7% (±2.2%)
951,Total,Total,Sofia (stolitsa),270,2020,35,271.0,269.0,260.0,261.0,275.0,267.2,5.8,1.96,5.1,262.09999999999997,272.3,2.8,5.1,1.0,1.8,267.2 (±5.1),2.8 (±5.1),1.0% (±1.8%)
952,Total,Total,Sofia,69,2020,35,75.0,71.0,65.0,70.0,65.0,69.2,3.8,1.96,3.3,65.9,72.5,-0.2,3.3,-0.3,4.5,69.2 (±3.3),-0.2 (±3.3),-0.3% (±4.5%)
953,Total,Total,Blagoevgrad,71,2020,35,68.0,57.0,69.0,57.0,63.0,62.8,5.2,1.96,4.6,58.199999999999996,67.39999999999999,8.2,4.6,13.1,7.8,62.8 (±4.6),8.2 (±4.6),13.1% (±7.8%)
954,Total,Total,Pernik,36,2020,35,37.0,47.0,44.0,44.0,61.0,46.6,7.9,1.96,6.9,39.7,53.5,-10.6,6.9,-22.7,10.0,46.6 (±6.9),-10.6 (±6.9),-22.7% (±10.0%)
955,Total,Total,Kyustendil,38,2020,35,33.0,33.0,43.0,29.0,36.0,34.8,4.7,1.96,4.1,30.699999999999996,38.9,3.2,4.1,9.2,11.5,34.8 (±4.1),3.2 (±4.1),9.2% (±11.5%)
956,Total,Total,Yuzhen tsentralen,426,2020,35,368.0,326.0,369.0,373.0,361.0,359.4,17.1,1.96,15.0,344.4,374.4,66.6,15.0,18.5,4.7,359.4 (±15.0),66.6 (±15.0),18.5% (±4.7%)
957,Total,Total,Plovdiv,172,2020,35,164.0,172.0,166.0,166.0,181.0,169.8,6.2,1.96,5.4,164.4,175.20000000000002,2.2,5.4,1.3,3.1,169.8 (±5.4),2.2 (±5.4),1.3% (±3.1%)
