Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc
(55-59),Female,Yugoiztochen,11,2020,10,28.0,17.0,26.0,19.0,18.0,21.6,4.5,1.96,3.9,17.700000000000003,25.5,-10.6,3.9
(60-64),Female,Yugoiztochen,3,2020,10,28.0,17.0,26.0,19.0,18.0,21.6,4.5,1.96,3.9,17.700000000000003,25.5,-18.6,3.9
(40-44),Female,Burgas,2,2020,10,12.0,5.0,6.0,8.0,7.0,7.6,2.4,1.96,2.1,5.5,9.7,-5.6,2.1
(45-49),Female,Burgas,0,2020,10,12.0,5.0,6.0,8.0,7.0,7.6,2.4,1.96,2.1,5.5,9.7,-7.6,2.1
(50-54),Female,Burgas,2,2020,10,12.0,5.0,6.0,8.0,7.0,7.6,2.4,1.96,2.1,5.5,9.7,-5.6,2.1
(55-59),Female,Burgas,5,2020,10,12.0,5.0,6.0,8.0,7.0,7.6,2.4,1.96,2.1,5.5,9.7,-2.6,2.1
(60-64),Female,Burgas,2,2020,10,12.0,5.0,6.0,8.0,7.0,7.6,2.4,1.96,2.1,5.5,9.7,-5.6,2.1
(40-44),Female,Sliven,0,2020,10,5.0,2.0,5.0,4.0,2.0,3.6,1.4,1.96,1.2,2.4000000000000004,4.8,-3.6,1.2
(45-49),Female,Sliven,1,2020,10,5.0,2.0,5.0,4.0,2.0,3.6,1.4,1.96,1.2,2.4000000000000004,4.8,-2.6,1.2
(50-54),Female,Sliven,0,2020,10,5.0,2.0,5.0,4.0,2.0,3.6,1.4,1.96,1.2,2.4000000000000004,4.8,-3.6,1.2
(55-59),Female,Sliven,0,2020,10,5.0,2.0,5.0,4.0,2.0,3.6,1.4,1.96,1.2,2.4000000000000004,4.8,-3.6,1.2
(60-64),Female,Sliven,0,2020,10,5.0,2.0,5.0,4.0,2.0,3.6,1.4,1.96,1.2,2.4000000000000004,4.8,-3.6,1.2
(40-44),Female,Yambol,0,2020,10,1.0,0.0,5.0,4.0,1.0,2.2,1.9,1.96,1.7,0.5000000000000002,3.9000000000000004,-2.2,1.7
(45-49),Female,Yambol,2,2020,10,1.0,0.0,5.0,4.0,1.0,2.2,1.9,1.96,1.7,0.5000000000000002,3.9000000000000004,-0.2,1.7
(50-54),Female,Yambol,0,2020,10,1.0,0.0,5.0,4.0,1.0,2.2,1.9,1.96,1.7,0.5000000000000002,3.9000000000000004,-2.2,1.7
(55-59),Female,Yambol,0,2020,10,1.0,0.0,5.0,4.0,1.0,2.2,1.9,1.96,1.7,0.5000000000000002,3.9000000000000004,-2.2,1.7
(60-64),Female,Yambol,0,2020,10,1.0,0.0,5.0,4.0,1.0,2.2,1.9,1.96,1.7,0.5000000000000002,3.9000000000000004,-2.2,1.7
(40-44),Female,Stara Zagora,0,2020,10,10.0,10.0,10.0,3.0,8.0,8.2,2.7,1.96,2.4,5.799999999999999,10.6,-8.2,2.4
(45-49),Female,Stara Zagora,0,2020,10,10.0,10.0,10.0,3.0,8.0,8.2,2.7,1.96,2.4,5.799999999999999,10.6,-8.2,2.4
(50-54),Female,Stara Zagora,0,2020,10,10.0,10.0,10.0,3.0,8.0,8.2,2.7,1.96,2.4,5.799999999999999,10.6,-8.2,2.4
(55-59),Female,Stara Zagora,6,2020,10,10.0,10.0,10.0,3.0,8.0,8.2,2.7,1.96,2.4,5.799999999999999,10.6,-2.2,2.4
(60-64),Female,Stara Zagora,1,2020,10,10.0,10.0,10.0,3.0,8.0,8.2,2.7,1.96,2.4,5.799999999999999,10.6,-7.2,2.4
(40-44),Female,Yugozapadna i yuzhna tsentralna Bulgaria,9,2020,10,79.0,52.0,59.0,45.0,49.0,56.8,12.0,1.96,10.5,46.3,67.3,-47.8,10.5
(45-49),Female,Yugozapadna i yuzhna tsentralna Bulgaria,5,2020,10,79.0,52.0,59.0,45.0,49.0,56.8,12.0,1.96,10.5,46.3,67.3,-51.8,10.5
(50-54),Female,Yugozapadna i yuzhna tsentralna Bulgaria,8,2020,10,79.0,52.0,59.0,45.0,49.0,56.8,12.0,1.96,10.5,46.3,67.3,-48.8,10.5
(55-59),Female,Yugozapadna i yuzhna tsentralna Bulgaria,10,2020,10,79.0,52.0,59.0,45.0,49.0,56.8,12.0,1.96,10.5,46.3,67.3,-46.8,10.5
(60-64),Female,Yugozapadna i yuzhna tsentralna Bulgaria,20,2020,10,79.0,52.0,59.0,45.0,49.0,56.8,12.0,1.96,10.5,46.3,67.3,-36.8,10.5
(40-44),Female,Yugozapaden,2,2020,10,52.0,34.0,35.0,26.0,32.0,35.8,8.7,1.96,7.6,28.199999999999996,43.4,-33.8,7.6
(45-49),Female,Yugozapaden,3,2020,10,52.0,34.0,35.0,26.0,32.0,35.8,8.7,1.96,7.6,28.199999999999996,43.4,-32.8,7.6
(50-54),Female,Yugozapaden,6,2020,10,52.0,34.0,35.0,26.0,32.0,35.8,8.7,1.96,7.6,28.199999999999996,43.4,-29.8,7.6
(55-59),Female,Yugozapaden,6,2020,10,52.0,34.0,35.0,26.0,32.0,35.8,8.7,1.96,7.6,28.199999999999996,43.4,-29.8,7.6
(60-64),Female,Yugozapaden,13,2020,10,52.0,34.0,35.0,26.0,32.0,35.8,8.7,1.96,7.6,28.199999999999996,43.4,-22.8,7.6
(40-44),Female,Sofia (stolitsa),1,2020,10,19.0,22.0,22.0,13.0,16.0,18.4,3.5,1.96,3.1,15.299999999999999,21.5,-17.4,3.1
(45-49),Female,Sofia (stolitsa),2,2020,10,19.0,22.0,22.0,13.0,16.0,18.4,3.5,1.96,3.1,15.299999999999999,21.5,-16.4,3.1
(50-54),Female,Sofia (stolitsa),5,2020,10,19.0,22.0,22.0,13.0,16.0,18.4,3.5,1.96,3.1,15.299999999999999,21.5,-13.4,3.1
(55-59),Female,Sofia (stolitsa),5,2020,10,19.0,22.0,22.0,13.0,16.0,18.4,3.5,1.96,3.1,15.299999999999999,21.5,-13.4,3.1
(60-64),Female,Sofia (stolitsa),7,2020,10,19.0,22.0,22.0,13.0,16.0,18.4,3.5,1.96,3.1,15.299999999999999,21.5,-11.4,3.1
(40-44),Female,Sofia,0,2020,10,10.0,3.0,7.0,7.0,4.0,6.2,2.5,1.96,2.2,4.0,8.4,-6.2,2.2
(45-49),Female,Sofia,0,2020,10,10.0,3.0,7.0,7.0,4.0,6.2,2.5,1.96,2.2,4.0,8.4,-6.2,2.2
(50-54),Female,Sofia,0,2020,10,10.0,3.0,7.0,7.0,4.0,6.2,2.5,1.96,2.2,4.0,8.4,-6.2,2.2
